"customer_number","status_1","customer_attention","customer_name","address_1","address_2","address_3","city","province","postal","country","phone","credit_limit","credit_available"
"1854","9","DEFAULT","LAKEFRONT MFG***ACCT CLOSED***","925 LAKEFRONT PROMENADE","","","MISSISSAUGA","ON","L5E 2C3","CAN","905-278-8777","0","0"
"1856","9","DEFAULT","ROTO MILL****ACCT CLOSED****","560 RIDDELL RD","","","ORANGEVILLE","ON","L9W 5H3","CAN","519-941-7686","0","0"
"1952","9","DEFAULT","LONDON'S ****ACCT CLOSED****","GEN DEL","9063","","MURRAY RIVER","PE","C0A 1W0","CAN","902-962-2692","0","0"
"1975","9","DEFAULT","SUNSHINEWORKS REPAIR","RR 3","193 ADELAIDE","","HARROW","ON","N0R 1G0","CAN","519-738-2180","0","0"
"2037","A","DEFAULT","DESSON MFG LTD","224 PELLATT AVE","","","TORONTO","ON","M9N 2P6","CAN","416-746-5020","1000","772"
"2038","9","DEFAULT","WAJAX EQUIP***ACCT CLOSED***","2200 52ND AVE","","","LACHINE","QC","H8T 2Y3","CAN","306-934-2858","0","0"
"2080","9","DEFAULT","DUNES GOLF ***ACCT CLOSED***","RR 3, SITE 4, BOX 1","","","GRANDE PRAIRIE","AB","T8V 5N3","CAN","780-538-4321","0","0"
"2152","9","DEFAULT","RAVEN OILFLD ***ACCT CLOSED***","PO BOX 6238","","","FORT ST JOHN","BC","V1J 4H7","CAN","250-787-8474","0","0"
"2155","9","DEFAULT","REGENT RENTAL&SUPP LTD EX","SITE 500 BOX 24 RR 5","","","BRANDON","MB","R7A 5Y5","CAN","204-728-0321","0","0"
"2162","9","DEFAULT","HARCO ENTER***ACCT CLOSED***","675 THE PARKWAY","","","PETERBOROUGH","ON","K9J 7K2","CAN","705-743-5361","0","0"
"2165","5","DEFAULT","INDUSTRIAL PROPERTY SERVICES","9693 KENNEDY ROAD","","","MARKHAM","ON","L6C 1A4","CAN","905-887-9122","1500","1124"
"2173","9","DEFAULT","SOUDURE ***ACCT CLOSED***","1041 CH. RACINE","","","BROMONT","QC","J2L 1G2","CAN","450-534-3295","0","0"
"2177","5","DEFAULT","LONDON DISTRICT CATHOLIC","SCHOOL BOARD","5200 WELLINGTON RD S","","LONDON","ON","N6E 3X8","CAN","519-663-2088","10000","9948"
"2180","A","DEFAULT","BEACON ROOFING SUPPLY OTTAWA","2801 SHEFFIELD RD","","","OTTAWA","ON","K1B 3V8","CAN","613-744-5119","2000","2000"
"2216","5","DEFAULT","BATTLEFIELD EQUIP RENTALS ON","PO BOX 9340 LCD #1","","","HAMILTON","ON","L8L 7X7","CAN","905-643-9410","10000","3362"
"2529","9","DEFAULT","NU-TECH PRECISION METALS","460 MCCARTNEY ST","","","ARNPRIOR","ON","K7S 0B6","CAN","613-623-6544","0","0"
"2537","9","DEFAULT","STEINER REPAIR","BOX 24","","","STRATTON","ON","P0W 1N0","CAN","807-483-5828","0","0"
"2682","A","DEFAULT","BRINKS CANADA OTTAWA","2755 LANCASTER RD","","","OTTAWA","ON","K1B 4V8","CAN","613-521-8650","4000","3464"
"2826","9","DEFAULT","DIRECT EQUIP ***CLOSED***","1363 CORNWALL RD","","","OAKVILLE","ON","L6J 7T5","CAN","905-844-7831","0","0"
"2833","9","DEFAULT","GIBBS CUSTOM SAWMILL","PO BOX 307","","","MCBRIDE","BC","V0J 2E0","CAN","250-569-3228","0","0"
"2943","9","DEFAULT","RECYCLE PLUS***ACCT CLOSED***","10502-96 AVE","","","GRANDE PRAIRIE","AB","T8V 5S2","CAN","780-532-8430","0","0"
"3079","5","DEFAULT","GNR CAMPING WORLD","1370 DUGALD RD","","","WINNIPEG","MB","R2J 0H2","CAN","204-233-4478","2500","1609"
"3175","9","DEFAULT","BERDINA FARMS***ACCT CLOSED***","PO BOX 1493","","","COALDALE","AB","T1M 1N3","CAN","403-345-3029","0","0"
"3187","9","DEFAULT","DRUMHELLER ***ACCT CLOSED****","224 CENTRE ST","","","DRUMHELLER","AB","T0J 0Y4","CAN","403-823-6300","0","0"
"3189","3","DEFAULT","WAYDEX SERVICES GP INC","11420 - 96TH AVE","","","GRANDE PRAIRIE","AB","T8V 5M4","CAN","780-538-9101","3500","3500"
"3190","5","DEFAULT","ALBERTA ENVIRONMENTAL RUBBER P","13500 - 156 ST","","","EDMONTON","AB","T5V 1L3","CAN","780-447-1994","5000","4293"
"3483","A","DEFAULT","WAGNER LAND CO LTD","PO BOX 125","","","LANCER","SK","S0N 1G0","CAN","306-689-2627","5000","5000"
"3524","5","DEFAULT","KORPAN TRACTOR & PARTS EX","2920 IDYLWYLD DR N","","","SASKATOON","SK","S7L 5Y6","CAN","306-933-2100","3000","2964"
"3549","5","DEFAULT","HYDRACORE DRILLS LTD","7702 PROGRESS WAY","","","DELTA","BC","V4G 1A4","CAN","604-940-4937","10000","8936"
"3805","A","DEFAULT","M & R MACHINES LTD EX","PO BOX 220","","","WEYBURN","SK","S4H 2J9","CAN","306-842-4803","1000","1000"
"3806","9","DEFAULT","GENERAL FASTEN***ACCT CLOSED**","2270 PORTLAND ST SE","","","CALGARY","AB","T2G 4M6","CAN","403-287-2970","0","0"
"3832","9","DEFAULT","VON AST CONST***ACCT CLOSED***","PO BOX 219","","","NIVERVILLE","MB","R0A 1E0","CAN","204-388-4696","0","0"
"3897","9","DEFAULT","ROMAINS FARM","PO BOX 490 ROMAINS BROOK","ROMAINS RD.","","PORT AU PORT","NL","A0N 1T0","CAN","709-648-2520","0","0"
"4036","3","DEFAULT","STANDARD ROOFING & EXTERIORS","11413 101 STREET","","","GRANDE PRAIRIE","AB","T8V 2R8","CAN","780-539-4880","2500","2500"
"4055","9","DEFAULT","JR BRISSON ****ACCT CLOSED****","564 INDUSTRIAL AVE.","ATTN;SERVICE DEPT","","OTTAWA","ON","K1G 0T9","CAN","613-521-1910","0","0"
"4057","9","DEFAULT","MULTI***USE ACCT 344718***","360 - 555 HERVO ST","","","WINNIPEG","MB","R3T 3L6","CAN","204-000-0000","0","0"
"4132","9","DEFAULT","MONSIEUR JACK***ACCT CLOSED***","308 ST PHILLIPPE","","","VAL D'OR","QC","J9P 4N7","CAN","819-738-7238","0","0"
"4208","9","DEFAULT","B&D MOUND SVC***ACCT CLOSED***","309 RAILWAY ST","PO BOX 240","","PILOT MOUND","MB","R0G 1P0","CAN","204-825-2424","0","0"
"4265","9","DEFAULT","SYSNOTEK ****ACCT CLOSED******","21 CANADIAN ROAD UNIT 10","","","SCARBOROUGH","ON","M1R 5G2","CAN","416-285-1225","0","0"
"4351","9","DEFAULT","THOMPSON FORD SALES","15 STATION RD","","","THOMPSON","MB","R8N 0N6","CAN","204-778-6386","0","0"
"4434","9","DEFAULT","R&R MACHINE SHOP LTEE EX","C.P. 915","","","KEDGWICK","NB","E8B 1A3","CAN","506-284-2691","0","0"
"4513","9","DEFAULT","ALL CANADA CR***ACCT CLOSED***","7215 TORBRAM RD","","","MISSISSAUGA","ON","L4T 1G7","CAN","905-795-1090","0","0"
"4660","5","DEFAULT","KIRKS TIRE LTD","238 - 22ND ST N","","","LETHBRIDGE","AB","T1H 3R7","CAN","403-327-5985","2000","2000"
"4669","9","DEFAULT","OUTLOOK PORK LTD.","PO BOX 478","","","NOBLEFORD","AB","T0L 1S0","CAN","403-381-4971","0","0"
"4703","9","DEFAULT","GAUTHIER HARD***ACCT CLOSED***","176 BOUL J D GAUTHIER","","","SHIPPAGAN","NB","E8S 1P2","CAN","506-336-4111","0","0"
"4874","A","DEFAULT","DAVID BROWN CONST LTD","PO BOX 490","","","INGLESIDE","ON","K0C 1M0","CAN","613-537-2255","1500","1840"
"5014","9","DEFAULT","AW***ACCT CLOSED***","10 SPENCER ST","","","MILVERTON","ON","N0K 1M0","CAN","519-595-8701","0","0"
"5026","A","DEFAULT","HUNTER FARMS","684 COUNTY RD","","","HILLIER","ON","K0K 2J0","CAN","613-399-3393","2000","1566"
"5067","9","DEFAULT","GRATIEN PROULX BLDG MAT","1499 STAR TOP RD","","","GLOUCESTER","ON","K1B 3W5","CAN","613-749-3344","0","0"
"5242","9","DEFAULT","LAND & SEA***CLOSED***","#1 MAIN HIGHWAY","","","BAY ROBERTS","NL","A0A 1G0","CAN","709-786-3336","0","0"
"7310","9","DEFAULT","TRUCK & DIESEL HYD","475A 11TH AVE","","","THUNDER BAY","ON","P7B 5R6","CAN","807-345-9522","0","0"
"8288","9","DEFAULT","FORT TOWING**ACCT CLOSED**","PO BOX 219","","","FORT QU'APPELLE","SK","S0G 1S0","CAN","306-332-5625","0","0"
"8310","A","DEFAULT","ORBIT GARANT DRILLING SERVICES","398 DOVER RD","","","DIEPPE","NB","E1A 7L6","CAN","506-853-9131","3000","2498"
"8473","A","DEFAULT","TRI STAR ELECTRIC EX","UNIT 26-62 SCURFIELD BLVD","","","WINNIPEG","MB","R3Y 1M5","CAN","204-788-4006","4000","3734"
"8509","A","DEFAULT","INDUSTRIAL TOOLS & EQUIP RENT","1745 BURLINGTON ST E","","","HAMILTON","ON","L8H 3L5","CAN","905-545-6011","5000","4301"
"8559","9","DEFAULT","CPI SERVICE***ACCT CLOSED***","6308 DAVIES RD NW","ATTN: ACCOUNTS PAYABLE","","EDMONTON","AB","T6E 4M9","CAN","780-468-5145","0","0"
"8610","9","DEFAULT","DURAND SEEDS INC","PO BOX 60","","","NOTRE DAME DE LOURDES","MB","R0G 1M0","CAN","204-248-2268","0","0"
"8615","5","DEFAULT","INT'L TENTNOLOGY","15427  66TH AVE","","","SURREY","BC","V3S 2A1","CAN","604-597-8368","6000","5727"
"8669","A","DEFAULT","WILLOW PARK GOLF COURSE LTD.","639 WILLOW PARK DR SE","","","CALGARY","AB","T2J 0L6","CAN","403-271-5111","4000","3194"
"8671","9","DEFAULT","AIRDRIE CHRYSLER JEEP","139 EASTLAKE","PO BOX 3602 STN MAIN","","AIRDRIE","AB","T4B 2B8","CAN","403-948-2600","0","0"
"8731","9","DEFAULT","HAAKON IND EX***ACCT CLOSED***","770 FORTUNE CRES","","","KINGSTON","ON","K7P 2T3","CAN","613-634-6500","0","0"
"8800","5","DEFAULT","NOV CANADA ULC-TUBOSCOPE","INSPECTION DIVISION","2304 - 8TH ST","","NISKU","AB","T9E 7Z2","CAN","780-955-7666","3000","0"
"8806","9","DEFAULT","LA CO-OPERATIVE AGRICOLE D'EMB","PO BOX 189","926 NOTRE DAME","","EMBRUN","ON","K0A 1W0","CAN","613-443-2833","0","0"
"8824","9","DEFAULT","DRACO ****ACCT CLOSED***","7 INDUSTRIAL PARK","","","RED LAKE","ON","P0V 2M0","CAN","807-727-3223","0","0"
"8856","9","DEFAULT","CONSOLIDATE G***ACCT CLOSED***","11 REID ST, PO BOX 2043","","","CHARLO","NB","E8E 2W8","CAN","506-684-5821","0","0"
"8879","3","DEFAULT","MUSKET EQUIPMENT LEASING","2215 ROYAL WINDSOR DR","","","MISSISSAUGA","ON","L5J 1K5","CAN","905-275-4545","5000","5000"
"8884","5","DEFAULT","ONTARIO SHIPYARDS INC","208 HILLYARD ST","","","HAMILTON","ON","L8L 6B6","CAN","905-528-2635","10000","8474"
"8996","5","DEFAULT","FENDOR GLASS & ALUM","46 AURIGA DR","","","OTTAWA","ON","K2E 7Y3","CAN","613-722-6581","1000","1000"
"9071","9","DEFAULT","REGINA CITY OF**ACCT CLOSED**","TREASURERS DEPARTMENT","PO BOX 5095","","REGINA","SK","S4P 3M3","CAN","306-777-7839","0","0"
"9108","9","DEFAULT","ANGELO'S U-CA***ACCT CLOSED***","265 CLAPPERTON RD","","","KAMLOOPS","BC","V2B 1E4","CAN","250-376-3733","0","0"
"9116","5","DEFAULT","ROBERTSON RENT-ALL","236 VANGUARD RD","","","OTTAWA","ON","K4A 3V6","CAN","613-983-7368","6000","5126"
"9123","A","DEFAULT","HEARTLAND LIVESTOCK BRANDON","A-329 12TH ST N","","","BRANDON","MB","R7A 6Z2","CAN","204-727-1431","1000","1000"
"9174","9","DEFAULT","CIMCO REFRIGERATION-SASKATOON","65 VILLIERS ST","","","TORONTO","ON","M5A 3S1","CAN","204-783-1178","0","0"
"9220","A","DEFAULT","ZAVISHA SAWMILLS LTD.","PO BOX 60","","","HINES CREEK","AB","T0H 2A0","CAN","780-494-3333","3000","3000"
"9269","9","DEFAULT","PMI MFG DIV OF EH PRICE","404 EGESZ ST","","","WINNIPEG","MB","R2R 1X5","CAN","204-633-4808","0","0"
"9289","9","DEFAULT","RONS BACKHOE SERVICE","PO BOX 1680","","","LAC DU BONNET","MB","R0E 1A0","CAN","204-345-8724","0","0"
"9307","9","DEFAULT","I.F. INC","S-4, C-18","","","EDGEWOOD","BC","V0G 1J0","CAN","250-269-7400","0","0"
"9370","5","DEFAULT","ATLAS-APEX ROOFING INC","65 DISCO RD","","","ETOBICOKE","ON","M9W 1M2","CAN","416-421-6244","4000","3475"
"9485","9","DEFAULT","GERRARD*****ACCT CLOSED****","6-2073 LOGAN AVE","","","WINNIPEG","MB","R2R 0J1","CAN","204-633-3980","0","0"
"9486","5","DEFAULT","RINKER MATERIALS","2099 ROSEVILLE ROAD","","","CAMBRIDGE","ON","N1R 5S3","CAN","519-622-7574","4000","2916"
"9488","9","DEFAULT","SPERRY SUN ***ACCT CLOSED***","6632 - 44 STREET","","","LEDUC","AB","T9E 7E4","CAN","780-986-2727","0","0"
"9553","9","DEFAULT","ARO TECHN***ACCT CLOSED***","35 STEWART RD","","","COLLINGWOOD","ON","L9Y 4M7","CAN","705-446-0648","0","0"
"9582","A","DEFAULT","APETAGON SMALL ENGINE REPAIRS","PO BOX 401","ATT:ROBBIE APETAGON","","NORWAY HOUSE","MB","R0B 1B0","CAN","204-359-6678","2000","2000"
"9686","9","DEFAULT","J & L SUPPLY**ACCT CLOSED*****","4511 MANITOBA ROAD SE","","","CALGARY","AB","T2G 4B9","CAN","403-287-3300","0","0"
"9726","9","DEFAULT","WICHERS MACH***ACCT CLOSED***","731 VILLAGE GREEN RD","","","VILLAGE GREEN","PE","C1B 3V2","CAN","902-651-2140","0","0"
"9751","9","DEFAULT","BAMFIELD MARINE***ACCT CLOSED*","PO BOX 100","","","BAMFIELD","BC","V0R 1B0","CAN","250-728-3301","0","0"
"9889","A","DEFAULT","SOUTH SHORE TRADING CO LTD","PO BOX 1545","","","PORT ELGIN","NB","E4M 3Y9","CAN","506-538-7619","500","500"
"9892","A","DEFAULT","CITY CENTER AUTOBODY","5706 44TH STREET","","","LLOYDMINSTER","AB","T9V 0B6","CAN","780-875-9522","2000","2000"
"9912","9","DEFAULT","E.U.R. RANCHES LTD.","PO BOX 12","","","LAKE FRANCIS","MB","R0C 1T0","CAN","204-383-5873","0","0"
"9967","9","DEFAULT","EAGLE RIVER ENTERPRISES","PO BOX 2","14 MCNEALY ROAD","","BALMERTOWN","ON","P0V 1S0","CAN","807-735-3333","0","0"
"9996","9","DEFAULT","BRIDGE CITY CHRYSLER","3216 - 1ST AVENUE SOUTH","","","LETHBRIDGE","AB","T1J 4H2","CAN","403-380-2233","0","0"
"10030","9","DEFAULT","AG TRONIC ***ACCT CLOSED***","439 SILVER CREEK INDUSTRIAL DR","","","LAKESHORE","ON","N8N 4W2","CAN","519-999-9999","0","0"
"10150","3","DEFAULT","OLYMPIC BUILDING SYSTEMS EX","1755 DUGALD RD","","","WINNIPEG","MB","R2J 0H3","CAN","204-661-8600","10000","10000"
"10164","5","DEFAULT","SPECTIS MOULDERS INC","PO BOX 970","100 CEDAR DR","","NIVERVILLE","MB","R0A 1E0","CAN","204-388-6700","2000","1846"
"10266","9","DEFAULT","EASTEND PARTS & SERVICE EX","PO BOX 582","","","MACGREGOR","MB","R0H 0R0","CAN","204-685-2837","0","0"
"10276","9","DEFAULT","TATRA VENTURES LTD","PO BOX 685","","","DAWSON CITY","YT","Y0B 1G0","CAN","867-993-5602","0","0"
"10277","9","DEFAULT","WESTLAND CONC***ACCT CLOSED***","PO BOX 1677 STN MAIN","","","SWIFT CURRENT","SK","S9H 4G6","CAN","306-773-9580","0","0"
"10298","A","DEFAULT","VAN GIESSEN GROWERS INC","PO BOX 222","","","COALDALE","AB","T1M 1M3","CAN","403-345-2626","3000","2119"
"10299","3","DEFAULT","REGINA EXHIBITION ASSOCIATION","PO BOX 167","","","REGINA","SK","S4P 2Z6","CAN","306-781-9200","2000","1823"
"10300","9","DEFAULT","WASTE MANAGEMENT OF","CANADA CORPORATION","290 EXETER RD","","LONDON","ON","N6L 1A3","CAN","519-652-1808","0","0"
"10402","9","DEFAULT","LAKESIDE INJECT**CLOSED*****","1105 ROLAND ST","","","THUNDER BAY","ON","P7B 5M5","CAN","807-625-5556","0","0"
"10606","9","DEFAULT","IRONLINE COMPRESSION","11401 - 98 AVENUE","","","GRANDE PRAIRIE","AB","T8V 5S5","CAN","780-539-3535","0","0"
"10618","5","DEFAULT","BLACK & MCDONALD DARTMOUTH","60 CUTLER AVE","","","DARTMOUTH","NS","B3B 0J6","CAN","902-468-3101","5000","4186"
"10670","9","DEFAULT","GRAND & TOY WPG ***CLOSED***","1641 STEEL AVE","","","WINNIPEG","MB","R3T 5J1","CAN","204-487-5579","0","0"
"10677","9","DEFAULT","CO-OP FEEDS***ACCT CLOSED***","1020 26 ST NE","","","CALGARY","AB","T2A 2M4","CAN","403-531-6659","0","0"
"10886","5","DEFAULT","TURF CARE PROD","200 PONY DRIVE","","","NEWMARKET","ON","L3Y 7B6","CAN","905-836-0988","2000","733"
"10894","A","DEFAULT","PRAIRIELAND RENTAL & SALES","600 ALBERT ST","","","REGINA","SK","S4R 2P3","CAN","306-757-4775","2000","2000"
"10969","9","DEFAULT","CENTRE DE REPARATION M.S.","325 BOUL DE LA CITE-DES-JEUNES","","","VAUDREUIL-DORION","QC","J7V 0H3","CAN","450-455-4565","0","0"
"11137","9","DEFAULT","HALIFAX REGIONAL MUNICIPALITY","ACCOUNTS PAYABLE","BOX 1749 3RD FLOOR DUKE TOWER","","HALIFAX","NS","B3J 3A5","CAN","902-490-4141","0","0"
"11141","A","DEFAULT","CARLETON PLACE THE TOWN OF","175 BRIDGE ST","","","CARLETON PLACE","ON","K7C 2V8","CAN","613-257-3920","2500","2141"
"11153","9","DEFAULT","MACDONALD ST***ACCT CLOSED***","200 AVE RD","","","CAMBRIDGE","ON","N1R 8H5","CAN","519-620-0400","0","0"
"11195","9","DEFAULT","LAWRENCE ****ACCT CLOSED****","10 HANGAR RD","","","SEGUIN","ON","P2A 2W8","CAN","705-378-4965","0","0"
"11239","5","DEFAULT","GLENCOE GOLF & COUNTRY CLUB","31002 ELBOW RIVER DR SW","","","CALGARY","AB","T3Z 2T8","CAN","403-242-4019","3000","2297"
"11246","9","DEFAULT","NUSSBAUMER'S MACH SHOP","PO BOX 118","HWY 602","","EMO","ON","P0W 1E0","CAN","807-482-2100","0","0"
"11247","5","DEFAULT","MUZEEN & BLYTHE LTD. EX","1221 INKSTER BLVD","","","WINNIPEG","MB","R2X 1P4","CAN","204-943-9519","5000","4519"
"11248","9","DEFAULT","VP SYSTEMS ***CLOSED***","101 1761 SEAN HEIGHTS","","","SAANICHTON","BC","V8M 0A5","CAN","250-652-6806","0","0"
"11294","9","DEFAULT","WESTERN PUMP***ACCT CLOSED***","PO BOX 39","","","NORRIS POINT","NL","A0K 3V0","CAN","709-458-2268","0","0"
"11405","9","DEFAULT","DAVEY AUTO BODY","427 YOUVILLE ST","","","WINNIPEG","MB","R2H 2T4","CAN","204-237-9328","0","0"
"11407","9","DEFAULT","SUPERIOR AGRI-SYSTEMS LTD EX","280 TRANSPORT RD","","","SUNNYSIDE","MB","R5R 0J5","CAN","204-233-8248","0","0"
"11489","A","DEFAULT","BEAVER MACHINE CORPORATION","250 HARRY WALKER PKWY N","UNIT 1","","NEWMARKET","ON","L3Y 7B4","CAN","905-836-4700","2000","1980"
"11596","9","DEFAULT","WOLVERINE GRP***ACCT CLOSED***","9515 - 62 AVENUE","","","EDMONTON","AB","T6E 0E1","CAN","780-435-3451","0","0"
"11793","9","DEFAULT","G HART & SONS WELL DRILLING","PO BOX 850","","","FENELON FALLS","ON","K0M 1N0","CAN","705-887-3331","0","0"
"11823","5","DEFAULT","QUINTEX SERVICES LTD","332 NASSAU ST N","","","WINNIPEG","MB","R3L 0R8","CAN","204-477-6600","1500","1187"
"11828","9","DEFAULT","NEILSON TRUCK***ACCT CLOSED***","PO BOX 267","430-2ND AVE SE","","WADENA","SK","S0A 4J0","CAN","306-338-3330","0","0"
"11939","3","DEFAULT","MANITOBA JOCKEY CLUB INC","MANITOBA C/OASSINIBOIA DOWNS","3975 PORTAGE AVE","","WINNIPEG","MB","R3K 2E9","CAN","204-885-3330","3000","1109"
"11942","9","DEFAULT","AARON CONSTRUCION SERVICES LTD","2024 RUSHMAN RD","","","WINNIPEG","MB","R4A 9A8","CAN","204-582-7663","0","0"
"11959","9","DEFAULT","DARTMOUTH NSF***ACCT CLOSED***","XXX","","","DARTMOUTH","NS","B3B 1H4","CAN","000-000-0000","0","0"
"11963","9","DEFAULT","BRANDT ENGINEERED PRODUCTS","302 MILL ST","PO BOX 1876 STN MAIN","","REGINA","SK","S4P 3E1","CAN","306-791-7557","0","0"
"12051","5","DEFAULT","PROGRESSIVE AUTO PARTS LTD","PO BOX 45025","RPO REGENT","","WINNIPEG","MB","R2C 5C7","CAN","204-982-3010","4500","4500"
"12077","9","DEFAULT","TOMLINSON WAS***ACCT CLOSED***","5597 POWER ROAD","","","GLOUCESTER","ON","K1G 3N4","CAN","613-821-0478","0","0"
"12223","A","DEFAULT","SILVER STREAK PRODUCTIONS LTD.","9543 GUNDERSON RD","","","DELTA","BC","V4C 4R9","CAN","604-880-0992","1500","1431"
"12300","9","DEFAULT","RIVERSIDE***ACCT CLOSED***","2485 LANCASTER ROAD #5","","","GLOUCESTER","ON","K1B 5L1","CAN","613-999-9999","0","0"
"12337","9","DEFAULT","HANDLEX ***ACCT CLOSED***","648 RUE ALBERT DE NIVERVILLE","","","DORVAL","QC","H4Y 1G6","CAN","514-906-0665","0","0"
"12352","9","DEFAULT","CUSTOM FINE METALS LTD.","3246 WHARTON WAY","","","MISSISSAUGA","ON","L4X 2C1","CAN","905-625-7784","0","0"
"12375","3","DEFAULT","LILYDALE-SOFINA EDMONTON","7727 127 AVE","","","EDMONTON","AB","T5C 1R9","CAN","780-435-3944","5000","3431"
"12454","9","DEFAULT","SD 51 ******ACCT CLOSED*****","PO BOX 640","","","GRAND FORKS","BC","V0H 1H0","CAN","250-442-8258","0","0"
"12457","A","DEFAULT","PROTEK SURFACE TECHNOLOGIES","2021 DUGALD RD","","","WINNIPEG","MB","R2J 0H3","CAN","204-654-2986","1000","767"
"12539","9","DEFAULT","SOBEYS DIST**ACCT CLOSED**","105 NORTH FOORD STREET","","","STELLARTON","NS","B0K 1S0","CAN","902-000-0000","0","0"
"12557","9","DEFAULT","PCL CONSTRUCTORS WINNIPEG","1540 GAMBLE PL","","","WINNIPEG","MB","R3T 1N6","CAN","204-949-8900","0","0"
"12628","9","DEFAULT","FABRIS-MILA***ACCT CLOSED***","1035 ERIN ST","","","WINNIPEG","MB","R3G 2X1","CAN","204-783-7179","0","0"
"12792","9","DEFAULT","BIG RIVER ENTERPRISES","PO BOX 1506","","","REVELSTOKE","BC","V0E 2S0","CAN","250-837-2355","0","0"
"12848","9","DEFAULT","RINTALA CONSTRUCTION","377 BLACK LAKE ROAD","","","LIVELY","ON","P3Y 1H8","CAN","705-692-3648","0","0"
"13078","9","DEFAULT","WALTER'S LANDSCAPING LTD","B-2686 STOUFFVILLE ROAD","","","STOUFFVILLE","ON","L4A 2J4","CAN","905-889-2691","0","0"
"13149","5","DEFAULT","REGINA MOTOR PRODUCTS (1970) L","PO BOX 710","","","REGINA","SK","S4P 3A8","CAN","306-585-1770","1000","523"
"13214","9","DEFAULT","IMARK INC ***ACCT CLOSED***","14440 123 AVE NW","","","EDMONTON","AB","T5L 2Y3","CAN","780-448-8997","0","0"
"13225","3","DEFAULT","PRYOR METALS LTD","2623 FENTON ROAD","","","GLOUCESTER","ON","K1T 3T8","CAN","613-822-0953","1000","843"
"13294","9","DEFAULT","NOVA SCOTIA DEPT OF TRANS","107 C PERRIN DR","","","FALL RIVER","NS","B2T 1J6","CAN","902-861-1911","0","0"
"13387","9","DEFAULT","TUFTS MACHINING EX","PO BOX 328","","","SOURIS","MB","R0K 2C0","CAN","204-483-2274","0","0"
"13389","9","DEFAULT","WESTERN PLUMBING**ACCT CLOSED*","PO BOX 747","528 WINDMILL RD","","DARTMOUTH","NS","B2Y 3Z3","CAN","902-468-2437","0","0"
"13426","3","DEFAULT","OLORENSHAW FARM SERVICES LTD","PO BOX 130","200 3RD ST NW","","ESTON","SK","S0L 1A0","CAN","306-962-4177","1500","1500"
