customer_number,status_1,customer_attention,customer_name,address_1,address_2,address_3,city,province,postal,country,phone,Company Email Address,Admin First Name,Admin Last Name,Admin Email Address,credit_limit,credit_available
1706,A,DEFAULT,NELSON RIVER LOGGING,PO BOX 75,,,WABOWDEN,MB,R0B 1S0,CAN,204-689-2319,AR1706@pal.ca,.,NELSON RIVER LOGGING,Admin1706@pal.ca,1000,1000
1737,A,DEFAULT,MID-ISLE FARMS,BOX 30,,,ALBANY,PE,C0B 1A0,CAN,902-855-2155,AR1737@pal.ca,.,MID-ISLE FARMS,Admin1737@pal.ca,1000,1000
1749,3,DEFAULT,WHISTLER RESORT MUNICIPALITY O,4325 BLACKCOMB WAY,,,WHISTLER,BC,V8E 0X5,CAN,604-932-5535,AR1749@pal.ca,.,WHISTLER RESORT MUNICIPALITY O,Admin1749@pal.ca,1000,1000
1753,6,DEFAULT,FURMANITE CANADA CORP,1373 CONFEDERATION,UNIT 2,,SARNIA,ON,N7S 5P1,CAN,519-344-9292,AR1753@pal.ca,.,FURMANITE CANADA CORP,Admin1753@pal.ca,0,0
1791,6,DEFAULT,LANSING BLDG***ACCT CLOSED***,1170 MARTINGROVE RD,,,ETOBICOKE,ON,M9W 4X1,CAN,416-241-5129,AR1791@pal.ca,.,LANSING BLDG***ACCT CLOSED***,Admin1791@pal.ca,0,0
1841,6,DEFAULT,NAGAARD SAWMILL LTD,7349 HECTOR RD,,,PORT ALBERNI,BC,V9Y 9E8,CAN,250-724-1197,AR1841@pal.ca,.,NAGAARD SAWMILL LTD,Admin1841@pal.ca,0,0
1842,A,DEFAULT,LABELS UNLIMITED INC  EX,67 ARCHIBALD ST,,,WINNIPEG,MB,R2J 0V7,CAN,204-233-4444,AR1842@pal.ca,.,LABELS UNLIMITED INC  EX,Admin1842@pal.ca,1000,1000
1854,6,DEFAULT,LAKEFRONT MFG***ACCT CLOSED***,925 LAKEFRONT PROMENADE,,,MISSISSAUGA,ON,L5E 2C3,CAN,905-278-8777,AR1854@pal.ca,.,LAKEFRONT MFG***ACCT CLOSED***,Admin1854@pal.ca,0,0
1856,6,DEFAULT,ROTO MILL****ACCT CLOSED****,560 RIDDELL RD,,,ORANGEVILLE,ON,L9W 5H3,CAN,519-941-7686,AR1856@pal.ca,.,ROTO MILL****ACCT CLOSED****,Admin1856@pal.ca,0,0
1952,6,DEFAULT,LONDON'S ****ACCT CLOSED****,GEN DEL,9063,,MURRAY RIVER,PE,C0A 1W0,CAN,902-962-2692,AR1952@pal.ca,.,LONDON'S ****ACCT CLOSED****,Admin1952@pal.ca,0,0
1975,6,DEFAULT,SUNSHINEWORKS REPAIR,RR 3,193 ADELAIDE,,HARROW,ON,N0R 1G0,CAN,519-738-2180,AR1975@pal.ca,.,SUNSHINEWORKS REPAIR,Admin1975@pal.ca,0,0
2037,A,DEFAULT,DESSON MFG LTD,224 PELLATT AVE,,,TORONTO,ON,M9N 2P6,CAN,416-746-5020,AR2037@pal.ca,.,DESSON MFG LTD,Admin2037@pal.ca,1000,1000
2038,6,DEFAULT,WAJAX EQUIP***ACCT CLOSED***,2200 52ND AVE,,,LACHINE,QC,H8T 2Y3,CAN,306-934-2858,AR2038@pal.ca,.,WAJAX EQUIP***ACCT CLOSED***,Admin2038@pal.ca,0,0
2080,6,DEFAULT,DUNES GOLF ***ACCT CLOSED***,"RR 3, SITE 4, BOX 1",,,GRANDE PRAIRIE,AB,T8V 5N3,CAN,780-538-4321,AR2080@pal.ca,.,DUNES GOLF ***ACCT CLOSED***,Admin2080@pal.ca,0,0
2152,6,DEFAULT,RAVEN OILFLD ***ACCT CLOSED***,PO BOX 6238,,,FORT ST JOHN,BC,V1J 4H7,CAN,250-787-8474,AR2152@pal.ca,.,RAVEN OILFLD ***ACCT CLOSED***,Admin2152@pal.ca,0,0
2155,5,DEFAULT,REGENT RENTAL&SUPP LTD EX,SITE 500 BOX 24 RR 5,,,BRANDON,MB,R7A 5Y5,CAN,204-728-0321,AR2155@pal.ca,.,REGENT RENTAL&SUPP LTD EX,Admin2155@pal.ca,2000,2000
2162,6,DEFAULT,HARCO ENTER***ACCT CLOSED***,675 THE PARKWAY,,,PETERBOROUGH,ON,K9J 7K2,CAN,705-743-5361,AR2162@pal.ca,.,HARCO ENTER***ACCT CLOSED***,Admin2162@pal.ca,0,0
2165,5,DEFAULT,INDUSTRIAL PROPERTY SERVICES,9693 KENNEDY ROAD,,,MARKHAM,ON,L6C 1A4,CAN,905-887-9122,AR2165@pal.ca,.,INDUSTRIAL PROPERTY SERVICES,Admin2165@pal.ca,1500,1500
2173,6,DEFAULT,SOUDURE ***ACCT CLOSED***,1041 CH. RACINE,,,BROMONT,QC,J2L 1G2,CAN,450-534-3295,AR2173@pal.ca,.,SOUDURE ***ACCT CLOSED***,Admin2173@pal.ca,0,0
2177,5,DEFAULT,LONDON DISTRICT CATHOLIC,SCHOOL BOARD,5200 WELLINGTON RD S,,LONDON,ON,N6E 3X8,CAN,519-663-2088,AR2177@pal.ca,.,LONDON DISTRICT CATHOLIC,Admin2177@pal.ca,10000,9673
2180,A,DEFAULT,BEACON ROOFING SUPPLY OTTAWA,2801 SHEFFIELD RD,,,OTTAWA,ON,K1B 3V8,CAN,613-744-5119,AR2180@pal.ca,.,BEACON ROOFING SUPPLY OTTAWA,Admin2180@pal.ca,2000,2000
2216,5,DEFAULT,BATTLEFIELD EQUIP RENTALS ON,PO BOX 9340 LCD #1,,,HAMILTON,ON,L8L 7X7,CAN,905-643-9410,AR2216@pal.ca,.,BATTLEFIELD EQUIP RENTALS ON,Admin2216@pal.ca,7500,7500
2529,6,DEFAULT,NU-TECH PRECISION METALS,460 MCCARTNEY ST,,,ARNPRIOR,ON,K7S 0B6,CAN,613-623-6544,AR2529@pal.ca,.,NU-TECH PRECISION METALS,Admin2529@pal.ca,0,0
2537,A,DEFAULT,STEINER REPAIR,BOX 24,,,STRATTON,ON,P0W 1N0,CAN,807-483-5828,AR2537@pal.ca,.,STEINER REPAIR,Admin2537@pal.ca,1000,1000
2682,A,DEFAULT,BRINKS CANADA OTTAWA,2755 LANCASTER RD,,,OTTAWA,ON,K1B 4V8,CAN,613-521-8650,AR2682@pal.ca,.,BRINKS CANADA OTTAWA,Admin2682@pal.ca,2000,2000
2826,A,DEFAULT,DIRECT EQUIP LTD,1363 CORNWALL RD,,,OAKVILLE,ON,L6J 7T5,CAN,905-844-7831,AR2826@pal.ca,.,DIRECT EQUIP LTD,Admin2826@pal.ca,2500,2500
2833,A,DEFAULT,GIBBS CUSTOM SAWMILL,PO BOX 307,,,MCBRIDE,BC,V0J 2E0,CAN,250-569-3228,AR2833@pal.ca,.,GIBBS CUSTOM SAWMILL,Admin2833@pal.ca,1000,1000
2943,6,DEFAULT,RECYCLE PLUS***ACCT CLOSED***,10502-96 AVE,,,GRANDE PRAIRIE,AB,T8V 5S2,CAN,780-532-8430,AR2943@pal.ca,.,RECYCLE PLUS***ACCT CLOSED***,Admin2943@pal.ca,0,0
3079,5,DEFAULT,GNR CAMPING WORLD,1370 DUGALD RD,,,WINNIPEG,MB,R2J 0H2,CAN,204-233-4478,AR3079@pal.ca,.,GNR CAMPING WORLD,Admin3079@pal.ca,2500,2500
3175,6,DEFAULT,BERDINA FARMS***ACCT CLOSED***,PO BOX 1493,,,COALDALE,AB,T1M 1N3,CAN,403-345-3029,AR3175@pal.ca,.,BERDINA FARMS***ACCT CLOSED***,Admin3175@pal.ca,0,0
3187,6,DEFAULT,DRUMHELLER ***ACCT CLOSED****,224 CENTRE ST,,,DRUMHELLER,AB,T0J 0Y4,CAN,403-823-6300,AR3187@pal.ca,.,DRUMHELLER ***ACCT CLOSED****,Admin3187@pal.ca,0,0
3189,3,DEFAULT,WAYDEX SERVICES GP INC,11420 - 96TH AVE,,,GRANDE PRAIRIE,AB,T8V 5M4,CAN,780-538-9101,AR3189@pal.ca,.,WAYDEX SERVICES GP INC,Admin3189@pal.ca,3500,3500
3190,5,DEFAULT,ALBERTA ENVIRONMENTAL RUBBER P,13500 - 156 ST,,,EDMONTON,AB,T5V 1L3,CAN,780-447-1994,AR3190@pal.ca,.,ALBERTA ENVIRONMENTAL RUBBER P,Admin3190@pal.ca,5000,5000
3483,A,DEFAULT,WAGNER LAND CO LTD,PO BOX 125,,,LANCER,SK,S0N 1G0,CAN,306-689-2627,AR3483@pal.ca,.,WAGNER LAND CO LTD,Admin3483@pal.ca,5000,5000
3524,5,DEFAULT,KORPAN TRACTOR & PARTS EX,2920 IDYLWYLD DR N,,,SASKATOON,SK,S7L 5Y6,CAN,306-933-2100,AR3524@pal.ca,.,KORPAN TRACTOR & PARTS EX,Admin3524@pal.ca,3000,3000
3549,5,DEFAULT,HYDRACORE DRILLS LTD,7702 PROGRESS WAY,,,DELTA,BC,V4G 1A4,CAN,604-940-4937,AR3549@pal.ca,.,HYDRACORE DRILLS LTD,Admin3549@pal.ca,10000,10000
3805,A,DEFAULT,M & R MACHINES LTD EX,PO BOX 220,,,WEYBURN,SK,S4H 2J9,CAN,306-842-4803,AR3805@pal.ca,.,M & R MACHINES LTD EX,Admin3805@pal.ca,1000,1000
3806,6,DEFAULT,GENERAL FASTEN***ACCT CLOSED**,2270 PORTLAND ST SE,,,CALGARY,AB,T2G 4M6,CAN,403-287-2970,AR3806@pal.ca,.,GENERAL FASTEN***ACCT CLOSED**,Admin3806@pal.ca,0,0
3832,6,DEFAULT,VON AST CONST***ACCT CLOSED***,PO BOX 219,,,NIVERVILLE,MB,R0A 1E0,CAN,204-388-4696,AR3832@pal.ca,.,VON AST CONST***ACCT CLOSED***,Admin3832@pal.ca,0,0
3897,6,DEFAULT,ROMAINS FARM,PO BOX 490 ROMAINS BROOK,ROMAINS RD.,,PORT AU PORT,NL,A0N 1T0,CAN,709-648-2520,AR3897@pal.ca,.,ROMAINS FARM,Admin3897@pal.ca,0,0
4036,3,DEFAULT,STANDARD ROOFING & EXTERIORS,11413 101 STREET,,,GRANDE PRAIRIE,AB,T8V 2R8,CAN,780-539-4880,AR4036@pal.ca,.,STANDARD ROOFING & EXTERIORS,Admin4036@pal.ca,2500,2500
4055,6,DEFAULT,JR BRISSON ****ACCT CLOSED****,564 INDUSTRIAL AVE.,ATTN;SERVICE DEPT,,OTTAWA,ON,K1G 0T9,CAN,613-521-1910,AR4055@pal.ca,.,JR BRISSON ****ACCT CLOSED****,Admin4055@pal.ca,0,0
4057,6,DEFAULT,MULTI***USE ACCT 344718***,360 - 555 HERVO ST,,,WINNIPEG,MB,R3T 3L6,CAN,204-262-5900,AR4057@pal.ca,.,MULTI***USE ACCT 344718***,Admin4057@pal.ca,0,0
4132,6,DEFAULT,MONSIEUR JACK***ACCT CLOSED***,308 ST PHILLIPPE,,,VAL D'OR,QC,J9P 4N7,CAN,819-738-7238,AR4132@pal.ca,.,MONSIEUR JACK***ACCT CLOSED***,Admin4132@pal.ca,0,0
4208,6,DEFAULT,B&D MOUND SVC***ACCT CLOSED***,309 RAILWAY ST,PO BOX 240,,PILOT MOUND,MB,R0G 1P0,CAN,204-825-2424,AR4208@pal.ca,.,B&D MOUND SVC***ACCT CLOSED***,Admin4208@pal.ca,0,0
4265,6,DEFAULT,SYSNOTEK ****ACCT CLOSED******,21 CANADIAN ROAD UNIT 10,,,SCARBOROUGH,ON,M1R 5G2,CAN,416-285-1225,AR4265@pal.ca,.,SYSNOTEK ****ACCT CLOSED******,Admin4265@pal.ca,0,0
4351,6,DEFAULT,THOMPSON FORD SALES,15 STATION RD,,,THOMPSON,MB,R8N 0N6,CAN,204-778-6386,AR4351@pal.ca,.,THOMPSON FORD SALES,Admin4351@pal.ca,0,0
4434,A,DEFAULT,R&R MACHINE SHOP LTEE EX,C.P. 915,,,KEDGWICK,NB,E8B 1A3,CAN,506-284-2691,AR4434@pal.ca,.,R&R MACHINE SHOP LTEE EX,Admin4434@pal.ca,2000,2000
4513,6,DEFAULT,ALL CANADA CR***ACCT CLOSED***,7215 TORBRAM RD,,,MISSISSAUGA,ON,L4T 1G7,CAN,905-795-1090,AR4513@pal.ca,.,ALL CANADA CR***ACCT CLOSED***,Admin4513@pal.ca,0,0
4660,5,DEFAULT,KIRKS TIRE LTD,238 - 22ND ST N,,,LETHBRIDGE,AB,T1H 3R7,CAN,403-327-5985,AR4660@pal.ca,.,KIRKS TIRE LTD,Admin4660@pal.ca,2000,2000
4669,5,DEFAULT,OUTLOOK PORK LTD.,PO BOX 478,,,NOBLEFORD,AB,T0L 1S0,CAN,403-381-4971,AR4669@pal.ca,.,OUTLOOK PORK LTD.,Admin4669@pal.ca,2000,2000
4703,6,DEFAULT,GAUTHIER HARD***ACCT CLOSED***,176 BOUL J D GAUTHIER,,,SHIPPAGAN,NB,E8S 1P2,CAN,506-336-4111,AR4703@pal.ca,.,GAUTHIER HARD***ACCT CLOSED***,Admin4703@pal.ca,0,0
4874,A,DEFAULT,DAVID BROWN CONST LTD,PO BOX 490,,,INGLESIDE,ON,K0C 1M0,CAN,613-537-2255,AR4874@pal.ca,.,DAVID BROWN CONST LTD,Admin4874@pal.ca,1500,1500
5014,6,DEFAULT,AW***ACCT CLOSED***,10 SPENCER ST,,,MILVERTON,ON,N0K 1M0,CAN,519-595-8701,AR5014@pal.ca,.,AW***ACCT CLOSED***,Admin5014@pal.ca,0,0
5026,A,DEFAULT,HUNTER FARMS,684 COUNTY RD,,,HILLIER,ON,K0K 2J0,CAN,905-655-3393,AR5026@pal.ca,.,HUNTER FARMS,Admin5026@pal.ca,2000,2000
5067,5,DEFAULT,GRATIEN PROULX BLDG MAT,1499 STAR TOP RD,,,GLOUCESTER,ON,K1B 3W5,CAN,613-749-3344,AR5067@pal.ca,.,GRATIEN PROULX BLDG MAT,Admin5067@pal.ca,1500,1500
5242,6,DEFAULT,LAND & SEA***CLOSED***,#1 MAIN HIGHWAY,,,BAY ROBERTS,NL,A0A 1G0,CAN,709-786-3336,AR5242@pal.ca,.,LAND & SEA***CLOSED***,Admin5242@pal.ca,0,0
7310,A,DEFAULT,TRUCK & DIESEL HYD,475A 11TH AVE,,,THUNDER BAY,ON,P7B 5R6,CAN,807-345-9522,AR7310@pal.ca,.,TRUCK & DIESEL HYD,Admin7310@pal.ca,2500,2500
8288,6,DEFAULT,FORT TOWING**ACCT CLOSED**,PO BOX 219,,,FORT QU'APPELLE,SK,S0G 1S0,CAN,306-332-5625,AR8288@pal.ca,.,FORT TOWING**ACCT CLOSED**,Admin8288@pal.ca,0,0
8310,A,DEFAULT,ORBIT GARANT DRILLING SERVICES,398 DOVER RD,,,DIEPPE,NB,E1A 7L6,CAN,506-853-9131,AR8310@pal.ca,.,ORBIT GARANT DRILLING SERVICES,Admin8310@pal.ca,3000,3000
8473,A,DEFAULT,TRI STAR ELECTRIC EX,UNIT 26-26 SCURFIELD BLVD,,,WINNIPEG,MB,R3Y 1M5,CAN,204-788-4006,AR8473@pal.ca,.,TRI STAR ELECTRIC EX,Admin8473@pal.ca,4000,4000
8509,A,DEFAULT,INDUSTIRAL TOOLS & EQUIP RENT,1745 BURLINGTON ST E,,,HAMILTON,ON,L8H 3L5,CAN,905-545-6011,AR8509@pal.ca,.,INDUSTIRAL TOOLS & EQUIP RENT,Admin8509@pal.ca,1000,1000
8559,6,DEFAULT,CPI SERVICE***ACCT CLOSED***,6308 DAVIES RD NW,ATTN: ACCOUNTS PAYABLE,,EDMONTON,AB,T6E 4M9,CAN,780-468-5145,AR8559@pal.ca,.,CPI SERVICE***ACCT CLOSED***,Admin8559@pal.ca,0,0
8610,A,DEFAULT,DURAND SEEDS INC,PO BOX 60,,,NOTRE DAME DE LOURDES,MB,R0G 1M0,CAN,204-248-2268,AR8610@pal.ca,.,DURAND SEEDS INC,Admin8610@pal.ca,1000,1000
8615,5,DEFAULT,INT'L TENTNOLOGY,15427  66TH AVE,,,SURREY,BC,V3S 2A1,CAN,604-597-8368,AR8615@pal.ca,.,INT'L TENTNOLOGY,Admin8615@pal.ca,6000,6000
8669,A,DEFAULT,WILLOW PARK GOLF COURSE LTD.,639 WILLOW PARK DR SE,,,CALGARY,AB,T2J 0L6,CAN,403-271-5111,AR8669@pal.ca,.,WILLOW PARK GOLF COURSE LTD.,Admin8669@pal.ca,2000,2000
8671,6,DEFAULT,AIRDRIE CHRYSLER JEEP,139 EASTLAKE,PO BOX 3602 STN MAIN,,AIRDRIE,AB,T4B 2B8,CAN,403-948-2600,AR8671@pal.ca,.,AIRDRIE CHRYSLER JEEP,Admin8671@pal.ca,0,0
8731,6,DEFAULT,HAAKON IND EX***ACCT CLOSED***,770 FORTUNE CRES,,,KINGSTON,ON,K7P 2T3,CAN,613-634-6500,AR8731@pal.ca,.,HAAKON IND EX***ACCT CLOSED***,Admin8731@pal.ca,0,0
8800,5,DEFAULT,NOV CANADA ULC-TUBOSCOPE,INSPECTION DIVISION,2304 - 8TH ST,,NISKU,AB,T9E 7Z2,CAN,780-955-7666,AR8800@pal.ca,.,NOV CANADA ULC-TUBOSCOPE,Admin8800@pal.ca,5000,5000
8806,5,DEFAULT,LA CO-OPERATIVE AGRICOLE D'EMB,PO BOX 189,926 NOTRE DAME,,EMBRUN,ON,K0A 1W0,CAN,613-443-2833,AR8806@pal.ca,.,LA CO-OPERATIVE AGRICOLE D'EMB,Admin8806@pal.ca,2500,2500
8824,6,DEFAULT,DRACO ****ACCT CLOSED***,7 INDUSTRIAL PARK,,,RED LAKE,ON,P0V 2M0,CAN,807-727-3223,AR8824@pal.ca,.,DRACO ****ACCT CLOSED***,Admin8824@pal.ca,0,0
8856,6,DEFAULT,CONSOLIDATE G***ACCT CLOSED***,"11 REID ST, PO BOX 2043",,,CHARLO,NB,E8E 2W8,CAN,506-684-5821,AR8856@pal.ca,.,CONSOLIDATE G***ACCT CLOSED***,Admin8856@pal.ca,0,0
8879,3,DEFAULT,MUSKET EQUIPMENT LEASING,2215 ROYAL WINDSOR DR,,,MISSISSAUGA,ON,L5J 1K5,CAN,905-275-4545,AR8879@pal.ca,.,MUSKET EQUIPMENT LEASING,Admin8879@pal.ca,1500,1500
8884,5,DEFAULT,ONTARIO SHIPYARDS INC,208 HILLYARD ST,,,HAMILTON,ON,L8L 6B6,CAN,905-528-2635,AR8884@pal.ca,.,ONTARIO SHIPYARDS INC,Admin8884@pal.ca,6000,6000
8996,5,DEFAULT,FENDOR GLASS & ALUM,46 AURIGA DR,,,OTTAWA,ON,K2E 7Y3,CAN,613-722-6581,AR8996@pal.ca,.,FENDOR GLASS & ALUM,Admin8996@pal.ca,1000,1000
9071,6,DEFAULT,REGINA CITY OF**ACCT CLOSED**,TREASURERS DEPARTMENT,PO BOX 5095,,REGINA,SK,S4P 3M3,CAN,306-777-7839,AR9071@pal.ca,.,REGINA CITY OF**ACCT CLOSED**,Admin9071@pal.ca,0,0
9108,6,DEFAULT,ANGELO'S U-CA***ACCT CLOSED***,265 CLAPPERTON RD,,,KAMLOOPS,BC,V2B 1E4,CAN,250-376-3733,AR9108@pal.ca,.,ANGELO'S U-CA***ACCT CLOSED***,Admin9108@pal.ca,0,0
9116,5,DEFAULT,ROBERTSON RENT-ALL,236 VANGUARD RD,,,OTTAWA,ON,K4A 3V6,CAN,613-834-1077,AR9116@pal.ca,.,ROBERTSON RENT-ALL,Admin9116@pal.ca,6000,6000
9123,A,DEFAULT,HEARTLAND LIVESTOCK BRANDON,A-329 12TH ST N,,,BRANDON,MB,R7A 6Z2,CAN,204-727-1432,AR9123@pal.ca,.,HEARTLAND LIVESTOCK BRANDON,Admin9123@pal.ca,1000,1000
9174,5,DEFAULT,CIMCO REFRIGERATION-SASKATOON,65 VILLIERS ST,,,TORONTO,ON,M5A 3S1,CAN,204-783-1178,AR9174@pal.ca,.,CIMCO REFRIGERATION-SASKATOON,Admin9174@pal.ca,1000,1000
9220,A,DEFAULT,ZAVISHA SAWMILLS LTD.,PO BOX 60,,,HINES CREEK,AB,T0H 2A0,CAN,780-494-3333,AR9220@pal.ca,.,ZAVISHA SAWMILLS LTD.,Admin9220@pal.ca,3000,3000
9269,A,DEFAULT,PMI MFG DIV OF EH PRICE,404 EGESZ ST,,,WINNIPEG,MB,R2R 1X5,CAN,204-633-4808,AR9269@pal.ca,.,PMI MFG DIV OF EH PRICE,Admin9269@pal.ca,5000,5000
9289,A,DEFAULT,RONS BACKHOE SERVICE,PO BOX 1680,,,LAC DU BONNET,MB,R0E 1A0,CAN,204-345-8724,AR9289@pal.ca,.,RONS BACKHOE SERVICE,Admin9289@pal.ca,1000,1000
9307,6,DEFAULT,I.F. INC,"S-4, C-18",,,EDGEWOOD,BC,V0G 1J0,CAN,250-269-7400,AR9307@pal.ca,.,I.F. INC,Admin9307@pal.ca,0,0
9370,5,DEFAULT,ATLAS-APEX ROOFING INC,65 DISCO RD,,,ETOBICOKE,ON,M9W 1M2,CAN,416-421-6244,AR9370@pal.ca,.,ATLAS-APEX ROOFING INC,Admin9370@pal.ca,2000,2000
9485,6,DEFAULT,GERRARD*****ACCT CLOSED****,6-2073 LOGAN AVE,,,WINNIPEG,MB,R2R 0J1,CAN,204-633-3980,AR9485@pal.ca,.,GERRARD*****ACCT CLOSED****,Admin9485@pal.ca,0,0
9486,5,DEFAULT,RINKER MATERIALS,2099 ROSEVILLE ROAD,,,CAMBRIDGE,ON,N1R 5S3,CAN,519-622-7574,AR9486@pal.ca,.,RINKER MATERIALS,Admin9486@pal.ca,4000,4000
9488,6,DEFAULT,SPERRY SUN ***ACCT CLOSED***,6632 - 44 STREET,,,LEDUC,AB,T9E 7E4,CAN,780-986-2727,AR9488@pal.ca,.,SPERRY SUN ***ACCT CLOSED***,Admin9488@pal.ca,0,0
9553,6,DEFAULT,ARO TECHN***ACCT CLOSED***,35 STEWART RD,,,COLLINGWOOD,ON,L9Y 4M7,CAN,705-446-0648,AR9553@pal.ca,.,ARO TECHN***ACCT CLOSED***,Admin9553@pal.ca,0,0
9582,A,DEFAULT,APETAGON SMALL ENGINE REPAIRS,PO BOX 401,ATT:ROBBIE APETAGON,,NORWAY HOUSE,MB,R0B 1B0,CAN,204-359-6678,AR9582@pal.ca,.,APETAGON SMALL ENGINE REPAIRS,Admin9582@pal.ca,2000,2000
9686,6,DEFAULT,J & L SUPPLY**ACCT CLOSED*****,4511 MANITOBA ROAD SE,,,CALGARY,AB,T2G 4B9,CAN,403-287-3300,AR9686@pal.ca,.,J & L SUPPLY**ACCT CLOSED*****,Admin9686@pal.ca,0,0
9726,6,DEFAULT,WICHERS MACH***ACCT CLOSED***,731 VILLAGE GREEN RD,,,VILLAGE GREEN,PE,C1B 3V2,CAN,902-651-2140,AR9726@pal.ca,.,WICHERS MACH***ACCT CLOSED***,Admin9726@pal.ca,0,0
9751,6,DEFAULT,BAMFIELD MARINE***ACCT CLOSED*,PO BOX 100,,,BAMFIELD,BC,V0R 1B0,CAN,250-728-3301,AR9751@pal.ca,.,BAMFIELD MARINE***ACCT CLOSED*,Admin9751@pal.ca,0,0
9889,A,DEFAULT,SOUTH SHORE TRADING CO LTD,PO BOX 1545,,,PORT ELGIN,NB,E4M 3Y9,CAN,506-538-7619,AR9889@pal.ca,.,SOUTH SHORE TRADING CO LTD,Admin9889@pal.ca,500,500
9892,A,DEFAULT,CITY CENTER AUTOBODY,5706 44TH STREET,,,LLOYDMINSTER,AB,T9V 0B6,CAN,780-875-9522,AR9892@pal.ca,.,CITY CENTER AUTOBODY,Admin9892@pal.ca,2000,2000
9912,A,DEFAULT,E.U.R. RANCHES LTD.,PO BOX 12,,,LAKE FRANCIS,MB,R0C 1T0,CAN,204-383-5873,AR9912@pal.ca,.,E.U.R. RANCHES LTD.,Admin9912@pal.ca,1500,1500
9967,5,DEFAULT,EAGLE RIVER ENTERPRISES,PO BOX 2,14 MCNEALY ROAD,,BALMERTOWN,ON,P0V 1S0,CAN,807-735-3333,AR9967@pal.ca,.,EAGLE RIVER ENTERPRISES,Admin9967@pal.ca,1000,1000
9996,A,DEFAULT,BRIDGE CITY CHRYSLER,3216 - 1ST AVENUE SOUTH,,,LETHBRIDGE,AB,T1J 4H2,CAN,403-380-2233,AR9996@pal.ca,.,BRIDGE CITY CHRYSLER,Admin9996@pal.ca,1000,1000
10030,6,DEFAULT,AG TRONIC ***ACCT CLOSED***,439 SILVER CREEK INDUSTRIAL DR,,,LAKESHORE,ON,N8N 4W2,CAN,519-999-9999,AR10030@pal.ca,.,AG TRONIC ***ACCT CLOSED***,Admin10030@pal.ca,0,0
10150,3,DEFAULT,OLYMPIC BUILDING SYSTEMS EX,1755 DUGALD RD,,,WINNIPEG,MB,R2J 0H3,CAN,204-661-8600,AR10150@pal.ca,.,OLYMPIC BUILDING SYSTEMS EX,Admin10150@pal.ca,10000,10000
10164,A,DEFAULT,SPECTIS MOULDERS INC,PO BOX 970,100 CEDAR DR,,NIVERVILLE,MB,R0A 1E0,CAN,204-388-6700,AR10164@pal.ca,.,SPECTIS MOULDERS INC,Admin10164@pal.ca,2000,2000
